,additional_information,street,agency_id,ages_served,borough,brief_description,building_floor_suite,city,free,genders_served,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,intake,low_cost,medicaid,medicare,other_insurances,phone_number,required_documents,site_id,site_languages,site_name,sliding_fee,state,website,zip_code
291,,,SUNY Downstate Medical Center Suny Downstate Medical Center,,Staten Island,,,,False,,,,,,,,,,False,,,,,,830,,SUNY Downstate Medical Center -Staten Island,,,,
292,,300 E 175th St,ACACIA Network ed for Community Empowerment,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,718-299-1100,,316,,ACACIA Network,,NY,http://www.acacianetwork.org/,10457
293,,205 8th Avenue,Walgreens/Duane Reade,18 years +,Manhattan,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,CLOSED,2:30 PM- 6:00 PM,CLOSED,CLOSED,2:30 PM- 6:00 PM,2:30 PM- 6:00 PM,2:30 PM- 6:00 PM,Walk-ins welcome,False,,,,(212) 691-9050,Photo ID,752,"English, Spanish",Walgreens-Community Pharmacy Walgreens,,NY,,10011
294,,8506 167th Street,Healthy Latino Community,,Queens,,,JAMAICA,False,,,,,,,,,,False,,,,(347) 752-0852,,369,,Healthy Latino Community,,NY,,11432
295,,514 49th Street,NYU Lutheran Medical Center,13 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,9:00 AM - 4:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 431-2645,Personal ID is not required but may allow quicker access to services.,133,"Chinese - Mandarin, Haitian Creole, Spanish",Lutheran Medical Center - Sunset Terrace Family Health Center,,NY,,11220
296,,224 West 29th Street,GMHC,18+,Manhattan,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,Ground floor,NEW YORK,True,Yes,12:30pm-7pm,9:30am-4:30pm,,,9:30am-4pm*,9:30am-4:30pm,9:30am-12:30pm; 2:30pm-4:30pm,Walk-ins welcome,False,,,,(212)367-1100,None,87,"English, Spanish",GMHC,,NY,gmhc.org,10001
297,,3510 Bainbridge Ave S,Unique People Services,,Bronx,,3,Bronx,False,,,,,,,,,,False,,,,,,823,,Unique People Services,,NY,http://www.uniquepeopleservices.org/,10467
298,,189 East 161 Street,Mayor's Office,,Bronx,,2nd Floor,BRONX,False,,,,,,,,,,False,,,,212-639-9675; 311; 911,,765,,NYC Family Justice Center,,NY,www.nyc.gob/domesticviolence,10451
299,,295 Flatbush Avenue Extension,MIC Women's Health Center,13 and over. Parental consent not required.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,3rd Floor,BROOKLYN,True,All,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,CLOSED,CLOSED,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,Walk-ins welcome,True,,,,718-522-1144,Personal ID is not required but may allow quicker access to services,139,Spanish and Translator line (all languages welcome),MIC Women's Health Center--Fort Greene,,NY,,11201
300,,555 Broome Street,The Door,13 to 19.,Manhattan,,,NEW YORK,True,,11:00 AM - 6:45 PM,12:00 PM - 7:15 PM,CLOSED,CLOSED,12:00 PM - 6:45 PM,2:00 PM - 7:15 PM,,Appointment preferred,True,,,,(212) 453-0222,,218,"French, Spanish",The Door,,NY,,10013
301,,3424 Kossuth Avenue,HHC North Central Bronx Hospital,13 to 19.,Bronx,,,BRONX,True,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,11:00 AM - 6:00 PM,9:00 AM - 4:00 PM,,True,,,,(718) 918-5700,,651,,HHC North Central Bronx Hospital - Teens,,NY,,10467
302,,57 Bay Street,North Shore LIJ,,Staten Island,,,STATEN ISLAND,False,,,,,,,,,,False,,,,(718) 226-6700,,208,,Staten Island University Hospital Bay Street Health Center Teen Risk Assessment Program,,NY,,10301
304,,15 Maiden Lane,HIV Law Project,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 577-3001,,373,,HIV Law Project,,NY,,10038
305,,224 West 35th Street,Ali Forney Center,,Manhattan,,15th Floor,NEW YORK,False,,,,,,,,,,False,,,,(212) 222-3427,,326,,Ali Forney Center - Main HQ,,NY,http://www.aliforneycenter.org/,10001
307,,2739 3rd Avenue,Bronx - Lebanon Hospital Center,13 to 19.,Bronx,,,BRONX,True,,8:00 AM- 12:00 PM,9:00 AM- 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,"9:00 AM- 4:00 PM, 6:30 PM - 8:00 PM",9:00 AM - 4:00 PM,Appointments preferred,True,,,,(718) 838-1016,No ID necessary.,6,Spanish,Adolescent and Young Adult Health Program Bronx Care MLK Jr. Health Center,,NY,http://www.bronxcare.org/,10451
308,,434 West 33rd Street,Planned Parenthood Federation of America (Global Central Office),,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 541-7800,,547,,Planned Parenthood Federation of America,,NY,http://www.plannedparenthood.org,10001
309,,295 Flatbush Avenue Extension,NYC DOHMH STD Control,13 and over.,Brooklyn,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,2nd Floor,BROOKLYN,True,,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,Walk-ins welcome,True,,,,,,82,English,Fort Greene STD Clinic,,NY,,11201
311,,1432 W. 118th St.,Children's Aid Society,Newborns to age 21.,Manhattan,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,True,Yes,,,212-369-8339,Photo ID,670,"English, Spanish",Chidlren's Aid Society - Milbank Health Services,Yes,NY,www.childrensaidsociety.org,10026
313,,441 Convent Avenue,Africa Redemption Alliance International,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 862-9010,,318,,Africa Redemption Alliance International,,NY,,10031
315,,145 WEST 15TH STREET,Puerto Rican Family Institute,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212)924-6320,,416,,Puerto Rican Family Institute,,NY,,10011
316,,3018 Colden Ave,Office of Dr. Arthur Hall,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 652-6206,,483,,Office of Dr. Arthur Hall,,NY,,10455
317,,650 Ashford St.,Brownsville Multi-Service Family Health Center,13 and over. Parental consent not required.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,False,All,8:30 AM - 4:00 PM,8:30 AM - 7:00 PM,CLOSED,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,Walk-ins welcome,True,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 345-5000 ext. 1805,Photo ID and proof of address. Documentation for payment may be required.,672,"English, Spanish, Haitian Creole",Brownsville Multi-Service Family Health Center - Ashford,Yes,NY,www.bmsfhc.wix.com/bms-family-health,11207
318,,165 East Burnside Avenue,Soundview,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 1:00 PM,CLOSED,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,Walk-ins welcome,False,,,,(718) 563-0003,Personal ID is not required but may allow quicker access to services.,654,,Soundview Burnside Medical Center,Yes,NY,,10453
320,,3765 White Plains Road,NYC Faith in Action,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,212-561-1787,,404,,NYC Faith in Action,,NY,,10467
321,,600 W 168th Street,NYC DOHMH,,Manhattan,,,NEW YORK,True,,CLOSED,8:30 AM - 5:00 PM,CLOSED,CLOSED,CLOSED,8:30 AM - 5:00 PM,CLOSED,Appointment required,False,,,,(212) 602-4500,,234,,Washington Heights Chest Center Clinic,,NY,,10032
322,,1873 Eastern Parkway,MIC Women's Health Center,13 and over. Parental consent not required.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,CLOSED,CLOSED,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,Walk-ins welcome,True,,,,718-498-1001,Personal ID is not required but may allow quicker access to services,755,Spanish and Translator line (all languages welcome),MIC Women's Health Center- Eastern Parkway,,NY,,11233
323,,105 West 188th Street,Montefiore Medical Center,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,CLOSED,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Walk-ins welcome,False,,,,(718) 563-0757,Personal ID is not required but may allow quicker access to services.,158,,Montefiore University Avenue Family Practice,Yes,NY,,10468
324,,105 Court Street,South Brooklyn Legal Services,,Brooklyn,,,Brooklyn,False,,,,,,,,,,False,,,,(718) 237-5571,,826,,South Brooklyn Legal Services,,NY,,11201
325,,777-779 Schenectady Avenue,Christian Fellowship Seventh-day Adventist Church,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 469-2050,,711,,Christian Fellowship Seventh-day Adventist Church,,NY,http://www.christianfellowshipsda.org/,11203
326,,400 Broadway,APICHA Community Health Center,18 and over.,Manhattan,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,10:00 AM - 4:30 PM,10:00 AM - 4:30 PM,CLOSED,CLOSED,10:00 AM - 4:30 PM,10:00 AM - 4:30 PM,12:00 PM - 6:30 PM,Appointment preferred,False,,,,866-274-2429,,14,"English, Spanish, Mandarin, Cantonese",APICHA Community Health Center,,NY,https://apicha.org,10013
327,,493 Nostrand Avenue,The Family Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 230-1379,,356,,The Family Center,,NY,,11216
328,,1854 Amsterdam Ave,St. Luke A.M.E. Church,,Manhattan,,302,New York,False,,,,,,,,,,False,,,,212-870-1300,,808,,St. Luke A.M.E. Church,,NY,http://www.stlukeameharlem.org/index.php/ministries,10031
329,,50 East 168th Street,The Institute for Family Health,13 and over. Parental consent not required.,Bronx,,Lower Level,BRONX,True,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,"2nd and 4th Saturdays, 8:30 AM - 5:30 PM",CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 293-3900,Personal ID is not required but may allow quicker access to services.,101,Spanish,IFH Urban Horizons Family Health Center,,NY,,10452
331,,1130 Grand Concourse,BronxWorks,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 508-3049,,29,,BronxWorks HIV Prevention for Adolescents,,NY,http://www.bronxworks.org/,10456
332,,3320 Rochambeau Avenue,Montefiore Medical Center,6 and over. Parental consent not required for ages 13 and over.,Bronx,,,BRONX,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 920-6333,Personal ID is not required but may allow quicker access to services.,161,French,Montefiore Women's Center,Yes,NY,,10467
333,,1300 Morris Park Avenue,Albert Einstein College of Medicine,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 430-2000,,552,,Albert Einstein College of Medicine,,NY,http://www.einstein.yu.edu/,10461
334,,1 Fordham Plaza,Montefiore Medical Center,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,7:30 AM - 5:00 PM,7:30 AM - 6:00 PM,CLOSED,CLOSED,7:30 AM - 5:00 PM,7:30 AM - 5:00 PM,7:30 AM - 6:00 PM,Walk-ins welcome,False,,,,(718) 405-4010,Personal ID is not required but may allow quicker access to services.,152,,Montefiore Fordham Family Practice,Yes,NY,,10458
335,,2222 Church Avenue,Brooklyn Hospital Center,13 and over. Parental consent not required.,Brooklyn,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Walk-ins welcome,False,,,,(718) 826-5626,,39,"English, Spanish, Haitian Creole, Bangla",Brooklyn Hospital Center - Path Center - Church Avenue,,NY,www.tbh.org,11226
336,,1776 Clay Avenue,Promesa,15 and over. Parental consent not required.,Bronx,,,BRONX,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 299-1100,Personal ID is not required but may allow quicker access to services.,193,,Promesa,,NY,,10457
337,,6 MetroTech Center,New York University,,Brooklyn,,ROG-B020,,False,,,,,,,,,,False,,,,646-997-3456,,815,,New York University Student Health Center - Brooklyn,,,,11201
338,,401 East 147th Street,Narco Freedom,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,558,,Narco Freedom - East 147th St.,,NY,,10455
340,,1456 Fulton Street,Bedford Stuyvesant Family Health Center,12 and over.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,8:00 AM - 4:00 PM,8:00 AM - 7:00 PM,8:00 AM - 4:00 PM,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,Appointment preferred,True,Yes,Yes,"Most insurances accepted, copay may be applied",(347)-334-0155,Photo ID preferred-- not necessary.,16,"English, Spanish, French, American Sign Language, Urdu, Hindi, Creole, Arabic",Bedford Stuyvesant Family Health Center,Yes,NY,http://www.bsfhc.org/,11216
341,,413 E 120th St,HHC La Clinica del Barrio,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 410-7940,,299,,HHC La Clinica del Barrio,,NY,,10035
342,,349 East 149th Street,Planned Parenthood-New York City Chapter,All ages. Parental consent not required,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,2nd Floor,BRONX,True,,8:00 AM - 6:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,CLOSED,8:00 AM - 6:30 PM,8:00 AM - 4:30 PM,8:00 AM - 6:30 PM,Appointment preferred,True,Yes,Yes,"Most insurances accepted, copay may be applied",(212) 965-7000,Personal ID,182,English; Spanish; Interpretation by telephone available for other languages.,Planned Parenthood The Bronx Center,Yes,NY,http://www.plannedparenthood.org/health-center/new-york/bronx/10451/the-bronx-center-2524-91110,10451
343,,1597 Unionport Road,The Institute for Family Health,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,CLOSED,CLOSED,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,Walk-ins welcome,False,,,,(718) 822-1818,Personal ID is not required but may allow quicker access to services.,100,,IFH Parkchester Family Practice,Yes,NY,,10462
344,,203 Nostrand Ave.,The Pentecostal House of Prayer,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,631,,The Pentecostal House of Prayer,,NY,,11205
345,,880 Bergen Street,Interfaith Medical Center,13 and over.,Brooklyn,,2nd Floor,BROOKLYN,True,,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,CLOSED,CLOSED,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,False,,,,(718) 613-7555,Personal ID is required.,109,,Interfaith Medical Center - Primary Care Designated AIDS Treatment Center,,NY,,11238
347,,1645 Grand Concourse,Bronx - Lebanon Hospital Center,14 and over. Parental consent not required.,Bronx,,Apartment 1B,BRONX,False,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Walk-ins welcome,False,,,,(718) 960-1480,Personal ID is not required but may allow quicker access to services.,23,,Bronx - Lebanon HIV Testing Administrative Office,Yes,NY,http://www.bronxcare.org/,10452
348,,610 West 158th Street,Project STAY - Services to Assist Youth,13 and over.,Manhattan,,,NEW YORK,True,,CLOSED,CLOSED,CLOSED,CLOSED,2:30 PM - 6:00 PM,CLOSED,CLOSED,Appointment preferred,True,,,,(646) 284-9739,,190,Spanish,Project STAY - Services to Assist Youth,,NY,,10032
349,,40 Worth Street,Public Health Solutions,,Manhattan,,5th Floor,NEW YORK,False,,,,,,,,,,False,,,,646-619-6400,,415,,Public Health Solutions,,NY,,10013
351,,1070 Southern Boulevard,Urban Health Plan,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,543,,El Viejo San Juan - Administration,,NY,,10459
352,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,1901 First Avenue,HHC Metropolitan Hospital Center,,Manhattan,,,NEW YORK,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",212-423-6262,,301,,HHC Metropolitan Hospital Center,Yes,NY,http://www.nyc.gov/html/hhc/mhc/html/home/home.shtml,10029
353,,138 East 26th Street,The City University of New York,,Manhattan,,Main Floor,NEW YORK,False,,9:30AM - 1:00PM; 2:00PM - 3:30PM,10:30AM - 2:00PM; 3:00PM - 7:00PM,CLOSED,CLOSED,9:30AM - 1:00PM; 2:00PM - 6:00PM,9:30AM - 1:00PM; 2:00PM - 6:00PM,10:30AM - 2:00PM; 3:00PM - 7:00PM,Walk-ins welcome,False,,,,646-312-2040,,514,,Baruch College,,NY,http://www.baruch.cuny.edu/studentaffairs/healthServices.htm,10010
354,,50 Avenue X Rm 366,Council for Unity,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,489,,Council For Unity,,NY,,11223
356,,2100 White Plains Road,Montefiore Medical Center,0-21 years. Parental consent not required for ages 13 and over.,Bronx,,,BRONX,False,,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,CLOSED,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:30 PM,Walk-ins welcome,False,,,,(718) 892-1626,Personal ID is not required but may allow quicker access to services.,159,,Montefiore White Plains Road Clinic,Yes,NY,,10462
357,,147-32 Jamaica Avenue,Choices Women's Medical Center,,Queens,,,JAMAICA,False,,,,,,,,,,False,,,,718-786-5000,,598,,Choices Women's Medical Center,,NY,http://www.choicesmedical.com/,11435
359,,2 Washington St,Exponents,18 and over.,Manhattan,Community Based Organization offering HIV testing and otheservices. Information subject to change. Please call ahead.,4th Floor,NEW YORK,True,,9am-5pm,9am-5pm,10am-3pm,10am-3pm,9am-5pm,9am-5pm,9am-5pm,Walk-ins welcome,False,,,,(212) 243-3434,No,353,"English, Spanish",Exponents,,NY,http://www.exponents.org/,10004
360,,851 Grand Concourse,Office of the Bronx Borough President,,Bronx,,#301,BRONX,False,,,,,,,,,,False,,,,(718) 590-3500,,406,,Office of the Bronx Borough President,,NY,,10451
361,,384 E 149th St,Office of Dr. Jaime F. Roman,,Bronx,,Ste. 318,BRONX,False,,,,,,,,,,False,,,,(718) 402-6238,,484,,Office of Dr. Jaime F. Roman,,NY,,10462
363,,2300 Westchester Avenue,Montefiore Medical Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 829-1900,,145,,Montefiore Bronx East Clinic,,NY,,10462
364,,470 East Fordham Road,Union Community Health Center,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 960-3805,Personal ID is not required but may allow quicker access to services.,226,,Union Community Health Center Family Practice Site,Yes,NY,,10458
365,,205 E 42nd Street,The City University of New York,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,,,577,,CUNY Administration Office,,NY,http://www.cuny.edu/about/administration.html,10017
366,,34-18 34th St.,Narco Freedom,,Queens,,,LONG ISLAND,False,,,,,,,,,,False,,,,,,557,,Narco Freedom - 34th St.,,NY,,11101
367,,1751 Park Avenue,Bailey House,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 633-2500,,332,,Bailey House,,NY,http://www.baileyhouse.org/,10035
368,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,2094 Pitkin Avenue,HHC East New York Diagnostic and Treatment Center,,Brooklyn,,,BROOKLYN,True,,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,CLOSED,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 240-0400,,293,,HHC East New York Diagnostic and Treatment Center,Yes,NY,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-EastNY.shtml,11207
369,,800 Barretto Street,BronxWorks,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 893-3606,,30,,BronxWorks Living Room,,NY,http://www.bronxworks.org/,10474
370,,36 Richmond Terrace,Housing Works Housing Works,,Staten Island,,Suite 208,Staten Island,False,,,,,,,,,,False,,,,,,838,,Staten Island Housing Program,,NY,,10301
371,,42-09 28th St.,NYC DOHMH,,Queens,,,LONG ISLAND CITY,False,,,,,,,,,,False,,,,(212) 639-9675,,481,,NYC DOHMH Transitional Health Care Coordination,,NY,,11101
373,,"Hofstra University, Hempstead,",North Shore LIJ,,Queens,,,QUEENS,False,,,,,,,,,,False,,,,516-463-6600,,587,,Hofstra North Shore LIJ School of Medicine,,NY,http://medicine.hofstra.edu/,11549
374,,"2501 Jerome Avenue, Bronx",Monroe College,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 933-6700,,477,,Monroe College,,NY,,10468
375,,2525 Kings Highway,New York Presbyterian Hospital,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,718-692-5300,,666,,NYP - New York Community Hospital,,NY,www.nych.com,11229
377,,1543 Inwood Avenue,Help/PSI Primary Care Services,18 and over.,Bronx,,,BRONX,False,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,CLOSED,CLOSED,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 681-8700 x3400,Personal ID is not required but may allow quicker access to services.,95,,Help - PSI Primary Care Services,Yes,NY,,10452
378,,4 MetroTech Roadway,Brooklyn Community Pride Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,499,,Brooklyn Community Pride Center,,NY,,11201
379,,1720 Church Avenue,CAMBA (Church Avenue Merchants Block Association),,Brooklyn,,2nd Floor,BROOKLYN,False,,,,,,,,,,False,,,,718-287-2600,,731,,CAMBA (Church Avenue Merchants Block Association) - Administration Office,,NY,http://www.camba.org/,11226
381,,429 W 127th St. 2nd Fl.,African Services Committee,14 and over.,Manhattan,Free rapid HIV testing-- no appointment necessary.,,NEW YORK,True,All,9:00am-4:00pm,9:00am-4:00pm,CLOSED,CLOSED,9:00am-4:00pm,9:00am-4:00pm,9:00am-4:00pm,Walk-ins welcome,False,,,,212-222-3882,Photo ID,12,"English, French, Spanish, Bambara, Wulof, Amharic, Jula,",African Services Committee,,NY,http://www.africanservices.org/,10027
382,,290 Lenox Ave.,Harlem United,18+,Manhattan,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,Lower Level,NEW YORK,True,Yes,,,,,10am-2pm,10am-2pm,10am-2pm,Walk-ins welcome,False,,,,(212) 289-2378 ext. 1334,None,507,"English, Spanish, French",Harlem United,,NY,,10027
383,,30-12 36th Avenue,Long Island City Health Center Clinic,,Queens,,,ASTORIA,False,,,,,,,,,,False,,,,(718) 392-8049,,123,,Long Island City Health Center Clinic,,NY,,11106
384,,36-11 21st Street,Community Healthcare Network,13 and over.,Queens,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,ASTORIA,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:30 AM- 3:30 PM,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,True,,,,(718)-482-7772,"Photo ID or similar documentation like paystub necessary. Proof of address, proof of income, list of medicines, past health records preferred",69,"English, Spanish, Bengali, For more than 150 other languages we use our Language Line, a live telephone translation service.",Community Healthcare Network - Long Island City Health Center,Yes,NY,http://www.chnnyc.org/our-locations/long-island-city-health-center,11106
385,,85 West Burnside Avenue,Morris Heights Health Center,13 and over. Parental consent not required.,Bronx,,,BRONX,True,,CLOSED,5:00 PM - 8:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,8:30AM - 8:00PM,Walk-ins welcome,False,,,,(718) 716-4400,Personal ID is not required but may allow quicker access to services.,163,Spanish,MHHC 85 W Burnside,,NY,http://www.mhhc.org/locations/85-west-burnside/,10453
387,,514 Bay Street,Project Hospitality,,Staten Island,,,STATEN ISLAND,True,,,,,,Walk in available: 9:00 AM - 1:00 PM,Walk in available: 9:00 AM - 5:00 PM,,Walk-ins welcome,False,,,,(718) 876-7716,Clients under 18 must present a written consent signed by a parent or legal guardian.,187,,Project Hospitality Walk-In Clinic,,NY,http://www.projecthospitality.org/,10301
388,,937 Fulton Street,START Treatment & Recovery Centers,18 and over.,Brooklyn,,,BROOKLYN,False,,6:30 AM - 12:00 PM,6:30 AM - 12:00 PM,CLOSED,CLOSED,6:30 AM - 12:00 PM,6:30 AM - 12:00 PM,6:30 AM - 12:00 PM,,False,Yes,,"Most insurances accepted, copay may be applied",(718) 789-1212,Government ID is required.,643,,START - Fort Greene,Yes,NY,,11238
389,,530 Lenox Avenue,HHC Harlem Hospital - Family Planning Clinic,,Manhattan,,,NEW YORK,True,,9:00 AM - 5:00 PM,9:00 AM - 7:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,True,,,,(212) 935-8275,,91,,HHC Harlem Hospital - Family Planning Clinic,,NY,,10037
390,,312-320 East 94th Street,Mount Sinai Health System,13 and over.,Manhattan,,,NEW YORK,True,,9:00 AM - 5:00 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,12:30 PM - 5:00 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,Walk-ins welcome,True,,,,(212) 423-2900,Photo ID is preferred.,170,"Arabic, French, German, Russian, Spanish",Mount Sinai Adolescent Health Center,,NY,,10028
391,,535 East 70th Street,Hospital for Special Surgery,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 606-1000,,374,,Hospital for Special Surgery,,NY,,10021
392,,1766 Broadway,Family Services Network of New York,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 573-3358,,357,,Family Services Network of New York,,NY,,11207
